nome
Lina Wertmller
Dennis Feldman
Satoko Ohudera
Jean-Jacques Annaud
Deric Washburn
Anton Pardoe
Arthur Alsberg
Franklin Coen
Valentine Davies
Christopher Folino
Temple Mathews
Scott Kosar
Helen Deutsch
George A. Romero
Buddy Giovinazzo
Robert Henry Craft
Laurie Craig
Mark Leyner
Edgar Wright
Peter Viertel
Chris Columbus
Angela Robinson
Len Wiseman
Robert Fuest
Shonda Rhimes
Matthew Bright
Leila Basen
Joshua James
Mark Atkins
Matt Johnson
Todd Robinson
Berkeley Mather
Vladimir Pozner
David Elliot
Patrick Edgeworth
Joe Giannone
John Carpentar
Patrick Tilley
Duncan Kennedy
Billy Crystal
