attore,film,anno
Michel Ocelot,Tales of the Night,2012
Kevin Corrigan,The Last Winter,2007
Nestor Serrano,Sueno,2005
Josh Brolin,Frank Miller's Sin City: A Dame to Kill For,2014
Adrien Brody,Cadillac Records,2008
Judy Campbell,Green for Danger,1947
"Darryl ""D.M.C."" McDaniels",Krush Groove,1985
Erwan Bouroullec,Objectified,2009
Inma Cuesta,Blancanieves,2013
Rene Russo,Outbreak,1995
Eleanor Clift,Patriocracy,2012
Niall Greig Fulton,Sunset Song,2016
Emily Brooke Hands,Eating Out 2: Sloppy Seconds,2006
Travis Fimmel,Maggie's Plan,2016
Margaret Atwood,Payback,2012
Burt Reynolds,City Heat,1984
Kim Hunter,The Swimmer,1968
Yul Vzquez,The Phenom,2016
Jrmie Blingard,"Polina (Polina, danser sa vie)",2017
Baek Yoon-sik,The President's Last Bang,2005
Castulo Guerra,Stick,1985
Carla Gugino,The Mighty Macs,2011
Emma Thompson,Sense and Sensibility,1995
Ramon Rodrguez,Megan Leavey,2017
Harold Gould,Love and Death,1975
Damacio Ruiz,Eulogy for a Vampire,2009
Salma Hayek,54,1998
Joe E. Brown,Around the World in 80 Days,1956
Jay Pharoah,Get Hard,2015
Josh Lucas,Life as We Know It,2010
Richard Schiff,Civic Duty,2006
Kimberly J. Brown,Tumbleweeds,1999
Patrick Stewart,Star Trek: First Contact,1996
Richard Bradford,Little Nikita,1988
Alex Ozerov,Guidance,2015
Ringo Starr,A Hard Day's Night,1964
Angelic Zambrana,Bushwick,2017
Wilson Jermaine Heredia,Rent,2005
Mirella D'Angelo,Opera,1987
Brad Pitt,Killing Them Softly,2012
Bill Engvall,Delta Farce,2007
John Cleese,Shrek 2,2004
Jason Patric,Your Friends & Neighbors,1998
Rick Rubin,Dixie Chicks - Shut Up and Sing,2006
Kelly Reilly,Russian Dolls (Les Poupes Russes),2006
Justin Welborn,Blue Like Jazz,2012
Colin Hanks,Elvis & Nixon,2016
Chris Hemsworth,Thor: The Dark World,2013
Richard B. Shull,Spring Break,1983
Jim Gaffigan,Jim Gaffigan: Noble Ape,2018
Danny DeVito,Deck the Halls,2006
Tadanobu Asano,The Outsider,2018
Yun-Fat Chow,Confucius,2010
Warrick Greer,Heatstroke,2014
Pat Hingle,Larger Than Life,1996
Chengwu Guo,Mao's Last Dancer,2010
Jimi Mistry,Partition,2007
Yacef Saadi,The Battle of Algiers (La Battaglia di Algeri),1967
Ashley Benson,Bart Got a Room,2009
Jack Nicholson,The Pledge,2001
Michael Stuhlbarg,Pawn Sacrifice,2015
Greta Gerwig,Frances Ha,2013
Ruth Donnelly,Footlight Parade,1933
William H. Macy,Oleanna,1994
Leslie Mann,The Comedian,2017
Ciarn Hinds,The Weight of Water,2001
Ryan Phillippe,MacGruber,2010
Annie Neal,Spiral,2007
John Cho,Harold & Kumar Go to White Castle,2004
Martin Starr,The Escape of Prisoner 614,2018
Marisa Tomei,Spare Parts,2015
Christopher Thompson,Change of Plans (Le Code a Chang),2010
Kirk Douglas,The Strange Love of Martha Ivers,1946
Adam Sandler,Just Go with It,2011
Slim Pickens,The Getaway,1972
Philippe Nahon,Irrversible,2002
Dave O'Brien,The Devil Bat,1940
Richard Mylan,Don't Knock Twice,2017
Gary Oldman,Criminal Law,1989
Penn Badgley,Forever Strong,2008
Dakota Fanning,War of the Worlds,2005
Isla Fisher,Hot Rod,2007
Franco Columbu,Pumping Iron,1976
Sorrell Brooke,"What's Up, Doc?",1972
Don Harvey,Tank Girl,1995
Maryum 'May May' Ali,I Am Ali,2014
