movie,movie_studio
Crimson Tide,Buena Vista Internationa
Machete Kills,Open Road
Central Intelligence,Warner Bros. Pictures
Mr. Nanny,Sony Pictures Home Entertainment
An American Tail - Fievel Goes West,Universal Pictures
Max Steel,Open Road Films
Ben-Hur,MGM
Drums Along the Mohawk,20th Century Fox Film Corporation
Robin Hood,Universal
Logan's Run,MGM
Geronimo,United Artists
Far From Home - The Adventures Of Yellow Dog,Kagan Company Radio Telegraph
Patient Zero,Vertical Entertainment
Proof of Life,Warner Bros. Pictures
Railroaded,Eagle-Lion
Passengers,Columbia Pictures
Avengers: Age of Ultron,Walt Disney Pictures
Wah Do Dem,IFC Films
While She Was Out,Anchor Bay Entertainment
Age of the Dragons,Metrodome Films
MacArthur,Universal Pictures
The Amazing Spider-Man,Sony Pictures
Heavy Metal,Columbia Pictures
King Arthur,Buena Vista Pictures
Space Cowboys,Warner Bros. Pictures
Belly,Artisan Entertainment
Terminator Salvation,Warner Bros. Pictures
Krrish 3,Eros Entertainment
Annihilation,Paramount Pictures
Clash of the Titans,Warner Bros.
Hot Rod,Paramount Pictures
Gray Lady Down,MCA Universal Home Video
Fah talai jone (Tears of the Black Tiger),Magnolia Pictures
Entrapment,Twentieth Century Fox Home Entertainment
Vigilante Diaries,Oscar Gold Productions
The Day After Tomorrow,20th Century Fox
The Amazing Spider-Man 2,Sony Pictures
The Spy Next Door,Lionsgate
Another Stakeout,Buena Vista
The King of Masks,Samuel Goldwyn
Mad Max,s
Poker Night,Xlrator Media
The Love Bug,Disney
Billion Dollar Brain,MGM
Man About Town,Media 8 Entertainment
Camilla,Miramax
Arabian Nights,United Artists
Batman Ninja,DC Comics
Van Helsing,Universal Pictures
Batman: Under the Red Hood,WARNER BROTHERS PICTURES
The Pirates of Penzance,Universal Studios
The Racket,RKO Pictures
The Yakuza,WARNER BROTHERS PICTURES
The Avengers,Warner Bros. Pictures
The Last Heist,Benattar/Thomas Productions
Hickey & Boggs,MVD Music Video
The Crow: Wicked Prayer,Miramax
Pearl Harbor,Touchstone
Jesus Christ Vampire Hunter,Eclectic DVD Distribution
Outlander,Third Rail Releasing
Bunty Aur Babli,Yash Raj Films
Splinter,Magic Lamp Releasing
TMNT,Warner Bros. Pictures
Gojira,Rialto Pictures
The Violent Kind,Image Entertainment
Shaun of the Dead,Focus Features
Zhong Nan Hai bao biao (The Defender) (The Bodyguard from Beijing),Eastern Productions
Bad Ass,IDP/Samuel goldwyn Films
Miami Blues,Orion Home Video
Yogi Bear,Warner Bros. Pictures
The Poseidon Adventure,20th Century Fox
Snakes on a Plane,New Line Cinema
Operation Crossbow,Carlo Ponti Productions
Rio,20th Century Fox
The January Man,Twentieth Century Fox Home Entertainment
The Monkey King 3,Well Go USA Entertainment
City Heat,Warner Home Video
Lionheart,MCA Universal Home Video
The Square,Apparition
The Presidio,Paramount Home Video
Hot Pursuit,Warner Bros. Pictures
The Osterman Weekend,HBO Video
Coraline,Focus Features
Sherlock Jr.,Metro Pictures Corporation
Dragonheart,MCA Universal Home Video
The Colony,Image Entertainment
Harriet the Spy,Paramount Pictures
Battlefield Earth,Warner Bros. Pictures
True Grit,Paramount Pictures
Harry Potter and the Deathly Hallows - Part 1,Warner Bros. Pictures
The Pirate,Metro-Goldwyn-Mayer (MGM)
Hollywood Homicide,Columbia Pictures
Nim's Island,Fox Walden
A Fish Called Wanda,MGM
The Return of the Musketeers,MCA Universal Home Video
Mission: Impossible Ghost Protocol,Paramount Studios
Incredibles 2,Disney/Pixar
Tai Chi Hero,Well Go USA
Thunderheart,Sony Pictures Home Entertainment
On Guard,Empire Pictures
The Flight of the Phoenix,20th Century Fox Film Corporation
Reindeer Games (Deception),Dimension Films
Catch Me If You Can,DreamWorks SKG
Wild Bill,MGM Home Entertainment
Russkies,Lorimar Home Video
The Mod Squad,MGM
The Man Who Knew Too Little,Warner Home Video
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),MGM
Jackie Brown,Miramax Films
Star Trek II: The Wrath of Khan,Paramount Pictures
Zombeavers,Freestyle Releasing
Catch That Kid,20th Century Fox
Warlords (Tau ming chong),Magnet Releasing
1492: Conquest of Paradise,Paramount Home Video
Nitro Circus: The Movie 3D,Arc Entertainment
Mystery Men,Universal Pictures
Ironclad,Arc Entertainment
Dead Snow (Dd sn),IFC
The Karate Kid,Sony Pictures
Leap!,The Weinstein Company
Viva Knievel!,WARNER BROTHERS PICTURES
Map of the Human Heart,HBO Video
The Killer Elite,MGM Home Entertainment
John Wick: Chapter 2,Summit Entertainment
Batman: The Killing Joke,The Answer Studio
No Country for Old Men,Miramax Films
Batman: Assault on Arkham,WARNER BROTHERS PICTURES
The Valley of Gwangi,WARNER BROTHERS PICTURES
Mr. Peabody & Sherman,20th Century Fox
Sukiyaki Western Django,First Look Studios
Manhunter,Anchor Bay Entertainment
Herbie Goes Bananas,Walt Disney Productions
Alex Rider: Operation Stormbreaker,Weinstein Company
1941,MCA Universal Home Video
Tomorrow Never Dies,MGM Home Entertainment
The Scorpion King,Universal Pictures
The Adventures of Buckaroo Banzai,Sherwood
Sesame Street Presents: Follow That Bird,Warner Home Video
Hawaii,United Artists
Doom,Universal Pictures
Thursday,Universal Pictures
The Bounty Hunter,Sony Pictures
Fantastic Four: Rise of the Silver Surfer,20th Century Fox
Caught Up,Live Home Video
The Circus,Allied Artists
Sabotage,Open Road Films
Stroker Ace,WARNER BROTHERS PICTURES
Batman & Robin,Warner Home Video
Mortal Kombat,New Line Home Entertainment
The Last Legion,The Weinstein Company
Pirates of the Caribbean: At Worlds End,Buena Vista
September Tapes,First Look
The Chronicles of Narnia: The Voyage of the Dawn Treader,20th Century Fox
Blankman,Sony Pictures Home Entertainment
Sergeant York,Warner Bros. Pictures
12 Strong,Warner Bros. Pictures
White Sands,Warner Home Video
The Black Hole,Walt Disney Productions
Lord of War,Lions Gate
Maze Runner: The Scorch Trials,20th Century Fox
Custer of the West,Simitar
Ip Man 2: Legend of the Grandmaster,Variance Films
Leprechaun: Back 2 tha Hood,LionsGate Entertainment
Peter Rabbit,Columbia Pictures
Blade: Trinity,New Line Cinema
Open Range,Buena Vista Pictures
Why Don't You Play in Hell?,Drafthouse Films
The Mighty Macs,Freestyle Releasing
Talk to Me,Focus Features
The Italian Job,Paramount Pictures
Faster,CBS Films
The Santa Clause,Buena Vista Distribution Compa
The Russia House,MGM Home Entertainment
Red Corner,MGM Home Entertainment
The Dead Pool,Warner Home Video
Budrus,Balcony Releasing
A History of Violence,New Line Cinema
La Soga (The Butcher's Son),Screen Media Ventures
Bronson,Magnolia Pictures
Flu (Gamgi),CJ Entertainment
Vacation,Warner Bros. Pictures
Olympus Has Fallen,FilmDistrict
A Warrior's Heart,Xenon Pictures
Scooby-Doo 2: Monsters Unleashed,Warner Bros. Pictures
De zaak Alzheimer (The Memory of a Killer),Sony Pictures Classics
Gunless,Cinema Eopch
Moby Dick,MGM
Avenged,Uncork'd Entertainment
3:10 to Yuma,Lionsgate Films
Out for Justice,Warner Home Video
Outcast,Eone Films
K-9: P.I.,Universal Studios Home Video
Mr. & Mrs. Smith,20th Century Fox
Ip Man 3,Super Hero Films
The Substitute,Live Home Video
Starship Troopers 3: Marauder,Sony Entertainment
The Fugitive,Warner Bros. Pictures
The Missouri Breaks,MGM
The Island,Dreamworks Distribution LLC
The Darjeeling Limited,Fox Searchlight Pictures
"See No Evil, Hear No Evil",Sony Pictures Home Entertainment
Free State of Jones,STX Entertainment
Mohawk,Dark Sky Films
Hitman: Agent 47,20th Century Fox
Alexander,Warner Bros. Pictures
Unforgettable,MGM Home Entertainment
Vendetta,Inception Media Group
Triad Election (Hak se wui yi wo wai kwai),Tartan USA
No Way Out,HBO Video
Fay Grim,Magnolia Pictures
Secuestro Express,Miramax
Hammer Of The Gods,Magnolia Pictures
Air America,Live Home Video
The Return of Jafar,Buena Vista Pictures
Sherlock Holmes: A Game of Shadows,Warner Bros. Pictures
Safe House,Universal Pictures
Dead Snow 2: Red vs. Dead (Dd sn 2),Well Go USA
The Matrix,Warner Bros. Pictures
Vigilante,Blue Underground
The Incredible Journey,Walt Disney Productions
Babylon A.D.,20th Century Fox
Ride With the Devil,Universal Studios
The Rise and Fall of Legs Diamond,Warner Bros.
The Monster Squad,Vestron Video
Last Action Hero,Sony Pictures Home Entertainment
USS Indianapolis: Men of Courage,Saban Films
Aladdin,Buena Vista Distribution Compa
Shaft's Big Score!,WARNER BROTHERS PICTURES
The Doom Generation,Trimark
Tees Maar Khan,UTV Communications
Daredevil,20th Century Fox
Formosa Betrayed,Screen Media Ventures
Grind,Warner Bros. Pictures
The Escape of Prisoner 614,Saban Films
The MacKintosh Man,WARNER BROTHERS PICTURES
Dragonslayer,Paramount Pictures
Casino Royale,Sony
Megamind,Paramount Studios/DWA
The Hidden,Media Home Entertainment
Toy Soldiers,Sony Pictures Home Entertainment
The LEGO Movie,Warner Bros. Pictures
Swiss Family Robinson,Buena Vista Pictures
Wrongfully Accused,Warner Bros. Pictures
Shaft,Paramount Pictures
Airport,Universal Pictures
Dragon Blade (Tian jiang xiong shi),Lionsgate Premiere
Gang Related,MGM Home Entertainment
The Untouchables,Paramount Pictures
Assassin's Creed,20th Century Fox
Tim Burton's Corpse Bride,Warner Bros. Pictures
The Beastmaster,MGM Home Entertainment
Yoga Hosers,Invincible Pictures
Natural City,Tartan Films
Memphis Belle,MVD Music Video
For a Few Dollars More (Per Qualche Dollaro in Pi),MGM Home Entertainment
Countdown,Unknown
The Lost Patrol,Media Home Entertainment
Commitment,Well Go USA
Bad Boys II,Sony Pictures Entertainment
Barfi!,UTV Communications
Saturn 3,Associated Film Distribution
Murder at the Gallop,Warner Home Video
Jaws: The Revenge,Universal Pictures
Deep Rising,Hollywood Pictures
Frank Miller's Sin City: A Dame to Kill For,Dimension Films
21 Jump Street,Sony Pictures
A Fistful of Dollars (Per un Pugno di Dollari),MGM Home Entertainment
Sicario: Day of the Soldado,Columbia Pictures
Target,Warner Bros.
The Flight of the Intruder,Paramount
The Philadelphia Experiment,Starmaker Entertainment
Romeo Must Die,Warner Home Video
Admiral (Michiel de Ruyter),Farmhouse Film & TV Produksje
Marked for Death,Twentieth Century Fox Home Entertainment
The Gods Must Be Crazy,20th Century Fox Film Corporat
Twelve O'Clock High,Twentieth Century Fox Home Entertainment
Henry V,MGM Home Entertainment
The Legend of Zorro,Sony Pictures Entertainment
Narrow Margin,Live Home Video
The Mark of Zorro,20th Century Fox
Labyrinth,Sony Pictures Home Entertainment
Batman Gotham Knight,Warner Home Video
Dinosaurs Alive! 3D,Giant Screen Films
Thief,MGM Home Entertainment
Ender's Game,Summit Entertainment
K2,Paramount Home Video
Under Siege 2: Dark Territory,Warner Home Video
Sullivan's Travels,Paramount Pictures
Justice League,Warner Bros. Pictures
"Duck, You Sucker (A Fistful of Dynamite) (Gi la testa)",United Artists
Seraphim Falls,Samuel Goldwyn Films
Blinky Bill The Movie,Assemblage Entertainment
"Run Silent, Run Deep",United Artists
Ghost Rider: Spirit of Vengeance,Sony Pictures
Point of No Return (The Assassin),Warner Home Video
Little Nikita,Sony Pictures Home Entertainment
Tall Tale,Buena Vista
Monster Trucks,Paramount Pictures
Ghost in the Shell,Paramount Pictures
Resident Evil,Columbia Tristar Pictures
Star Trek V - The Final Frontier,Paramount Pictures
The Foreigner,STX Films
London Has Fallen,Focus Features
Holes,Buena Vista Pictures
The Adventures of Baron Munchausen,Sony Pictures Home Entertainment
The Crow,LionsGate Entertainment
Cats & Dogs: The Revenge of Kitty Galore,Warner Bros. Pictures
The Public Enemy,WARNER BROTHERS PICTURES
Twentieth Century Fox Home Entertainment,119
The Count of Monte Cristo,Touchstone Pictures
Priest,Screen Gems/SONY PICTURES
The Runner,Alchemy
Excess Baggage,Sony Pictures Home Entertainment
Escape From Planet Earth,The Weinstein Co.
Drive Angry,Summit Entertainment
Surf's Up,Sony Pictures
Mandy,RLJE Films
Set It Off,New Line Home Entertainment
Heaven,Miramax Films
Compadres,Draco Films
The Flying Swords of Dragon Gate,IMAX
Jurassic Park,Universal City Studios
Silent Hill,Sony Pictures
The Proposition,First Look Pictures
Quigley Down Under,MGM Home Entertainment
The Shooting,VCI
Benji the Hunted,Walt Disney Productions
Trespass,MCA Universal Home Video
Electra Glide in Blue,MGM Home Entertainment
The Thomas Crown Affair,MGM Home Entertainment
A Kid in King Arthur's Court,Buena Vista Pictures
Teenage Mutant Ninja Turtles,Paramount Pictures
Savage Sam,Buena Vista
Kalifornia,PolyGram Video
Alice Through the Looking Glass,Walt Disney Pictures
Von Richthofen and Brown,MGM
The Angry Red Planet,American International Pictures (AIP)
Paris Manhattan,Palace Films
Bones,New Line Cinema
Kung Fu Killer,Well Go USA
The Fate of the Furious,Universal Pictures
TRON,Buena Vista Pictures
Maniac Cop 2,Live Home Video
The Deep,Sony Pictures Home Entertainment
Mesrine: Public Enemy #1,Music Box Films
The Little Vampire,New Line Cinema
Domestic Disturbance,Paramount Pictures
The Future,Roadside Attractions
El Norte,Criterion Collection
Frequency,New Line Cinema
Wing Commander,Twentieth Century Fox Home Entertainment
The Brothers Bloom,Summit Entertainment
Who's That Knocking at My Door?,WARNER BROTHERS PICTURES
Scorched Earth,"Lighthouse Pictures, Inc."
Wild Rovers,MGM Home Entertainment
White Fang 2: Myth of the White Wolf,MVD Music Video
Mary and The Witch's Flower,GKIDS
Beneath The Planet Of The Apes,20th Century Fox
Battleship,Universal
Crocodile Dundee in Los Angeles,Paramount
Deuces Wild,MGM
The Trumpet of the Swan,Columbia Pictures
Sands of Iwo Jima,Republic Pictures Home Video
Black Caesar,MGM Home Entertainment
The Huntsman: Winter's War,Universal Pictures
Star Wars: Episode VI - Return of the Jedi,Twentieth Century Fox
Out of Time,MGM/UA
The Young Lions,WGBH Boston Video
Geostorm,Warner Bros. Pictures
Double Team,Sony Pictures Home Entertainment
Who'll Stop the Rain,MGM Home Entertainment
Riot in Cell Block 11,Allied Artists
Ulzana's Raid,MCA Universal Home Video
Savage Dog,Bleiberg Entertainment
X-Men: Days of Future Past,20th Century Fox
Kites,Reliance Big Pictures
Raze,IFC Films
The Stone Boy,Anchor Bay Entertainment
Mandingo,Paramount Pictures
Garfield - The Movie,20th Century Fox
Play It to the Bone,Touchstone Pictures
Airport 1975,Universal Pictures
Hands of Stone,Fuego Films
2 Guns,Universal Pictures
U-Turn,Sony Pictures Home Entertainment
The Glimmer Man,Warner Home Video
Terminator 2: Judgment Day,TriStar Pictures
BloodRayne 2: Deliverance,Cinedigm
DCU: Justice League: The Flashpoint Paradox,WARNER BROTHERS PICTURES
Zaytoun,Strand Releasing
Avatar,20th Century Fox
Short Time,Live Home Video
Straight to Hell,Island Pictures
Where the Wild Things Are,Warner Bros. Pictures
Batman Forever,Warner Bros. Pictures
Proud Mary,Screen Gems
The War Wagon,MCA Universal Home Video
Lara Croft - Tomb Raider,Paramount Pictures
Sabretooth,LionsGate Entertainment
Ratchet & Clank,Focus Features
The League of Extraordinary Gentlemen,20th Century Fox
Tom Jones,Woodfall Film Productions
Frankenstein's Army,MPI Media Group
Coogan's Bluff,Universal Pictures
Tashan,Yash Raj Films
Freejack,Warner Home Video
Ice Age 2: The Meltdown,20th Century Fox
The November Man,Relativity Media
Evil Under the Sun,Universal Pictures
Superman III,WARNER BROTHERS PICTURES
Sin City,Dimension Films
Dance of the Dead,Grindhouse Entertainment
Hatari!,Howard Hawks
Act of Valor,Relativity Media
A Better Tomorrow,CJ Entertainment
Nightbreed,WARNER BROTHERS PICTURES
Crocodile Dundee,Paramount Pictures
Godzilla Resurgence (Shin Godzilla),Toho Company
Pandorum,Overture Films
Paycheck,Paramount Pictures
The Amazing Panda Adventure,Warner Home Video
The Dark Crystal,Sony Pictures Home Entertainment
Ruby Bridges,Buena Vista Worldwide Home Entertainment
Sinbad: Legend of the Seven Seas,DreamWorks SKG
From Paris with Love,Lionsgate Films
Black Cloud,Black Cloud LLC
Hanky Panky,Sony Pictures Entertainment
The Collection,LD Entertainment
Black Mask,Artisan Entertainment
Deception,20th Century Fox
Rob Roy,MGM Home Entertainment
Field of Lost Shoes,Bosch Media
The Enemy Below,Fox
Sleight,BH Tilt
Dragon and the Hawk,Inferno Film Productions
Masters of the Universe,Cannon Films
Flying Leathernecks,VidAmerica
World of the Dead: The Zombie Diaries 2,Dimension Films
Nicotina,Arenas Entertainment
Pink Panther 2,Sony Pictures
Rapid Fire,Twentieth Century Fox Home Entertainment
Seal Team 6: The Raid on Osama Bin Laden,Anchor Bay Entertainment
The Crow: City of Angels,Miramax
Himalaya (L'Enfance d'un Chef) (Caravan),Kino International
The Girl Who Leapt Through Time,Tokikake Film Partners
Hellboy II: The Golden Army (Hellboy 2),Universal Pictures
The Hitman,Cannon Home Video
Welcome to the Punch,IFC Films
Wild Wild West,Warner Bros. Pictures
Oddball and the Penguins (Oddball),Momentum Pictures
Vanity Fair,Focus Features
Never Say Never Again,Warner Bros. Pictures
Psychokinesis,Netflix
Hondo,Batjac Productions Inc.
Last Man Standing,New Line Cinema
Major Dundee,Columbia Pictures
Legionnaire,Sterling Entertainment
The Lion King II: Simba's Pride,Walt Disney Television Animation
Rampart,Millenium Entertainment
El Juicio de Billy Jack,Taylor-Laughlin Distribution
Kite,Anchor Bay Entertainment
Tango & Cash,Warner Bros. Pictures
Witching and Bitching,IFC Films
Braveheart,Paramount Pictures
The Hunger Games: Mockingjay - Part 1,Lionsgate Films
Black Water,Saban Films
Firestorm,Twentieth Century Fox Home Entertainment
Charlie's Angels - Full Throttle,Columbia Pictures
Excalibur,Warner Bros. Pictures
Butcher Boys,Phase 4 Films
Red,Summit Entertainment
Kung Fu Hustle,Sony Pictures Classics
The Substitute 4: Failure Is Not an Option,Europa Filmes
Un condamn  mort s'est chapp ou Le vent souffle o il veut (A Man Escaped),Criterion Collection
The Hobbit: The Battle of the Five Armies,Warner Bros.
National Security,Sony Pictures
A Throw of Dice,Hollywood Pictures Inc.
Cinderella Man,Universal Pictures
Herbie Rides Again,Disney
Cheetah,Robert Halmi Productions
Bandidas,20th Century Fox
Hotel Artemis,Global Road Entertainment
Stick,MCA Universal Home Video
Phantom,RCR Distribution
The Blue Butterfly,Alliance Atlantis Communicatio
