movie,screenwriter,year
Free Zone,Marie-Jose Sanselme,2006
The Beautician and the Beast,Todd Graff,1997
Confidence,Doug Jung,2003
Private Peaceful,Michal Morpurgo,2014
Age of Heroes,Adrian Vitoria,2011
Brute Force,Richard Brooks,1947
Pacific Heights,Daniel Pyne,1990
A Very Long Engagement,Jean-Pierre Jeunet,2004
Eye of the Needle,Stanley Mann,1981
Trash,Richard Curtis,2015
Three Times (Zui hao de shi guang),Hsiao-hsien Hou,2005
Meeting Spencer,Scott Kasdin,2011
Midnight Return: The Story of Billy Hayes and Turkey,Sally Sussman,2017
Loose Cannons,Thomas Szollosi,1990
A Room With a View,Ruth Prawer Jhabvala,1985
Surveillance,Jennifer Chambers Lynch,2009
Hall Pass,Bobby Farrelly,2011
THX 1138,George Lucas,1971
Gloria,Gonzalo Maza,2014
Jefferson in Paris,Ruth Prawer Jhabvala,1995
For Pete's Sake,Stanley Shapiro,1974
The Snowman,Raymond Briggs,1982
Maximum Risk,Larry Ferguson,1996
Land of the Pharaohs,Harold Jack Bloom,1955
Cas & Dylan,Jessie Gabe,2015
Deuces Wild,Christopher Gambale,2002
Fatal Beauty,Dean Riesner,1987
The Gambler,James Toback,2014
The Ladies' Man,Bill Richmond,1961
Brown Sugar,Rick Famuyiwa,2002
Wetlands,Emanuele Della Valle,2017
Gypsy,Arthur Laurents,1962
The Starving Games,Aaron Seltzer,2013
Red Heat,Walter Hill,1988
Friday the 13th Part 2,Ron Kurz,1981
A Christmas Carol,Hugo Butler,1938
Millions,Frank Cottrell Boyce,2005
National Lampoon's Pledge This!,Cheryl Guerriero,2006
Leonard Part 6,Jonathan Reynolds,1987
Face to Face,David Williamson,2013
Race,Anna Waterhouse,2016
Dream for an Insomniac,Tiffanie DeBartolo,1996
Chennai Express,Yunus Sajawal,2013
Without a Clue,Larry Strawther,1988
She's Funny That Way,Louise Stratten,2015
Fresh,Boaz Yakin,1994
976-EVIL,Brian Helgeland,1989
Legends of Oz: Dorothy's Return,Adam Balsam,2014
Street Fighter: The Legend of Chun-Li,Justin Marks,2009
Mean Creek,Jacob Aaron Estes,2004
Journey to the Center of the Earth,Walter Reisch,1959
Die Hard 2,Steven E. de Souza,1990
Gimme Danger,Jim Jarmusch,2016
Closing Escrow,Kent G. Llewellyn,2007
Harry and the Hendersons,Bill Martin,1987
The Night Watchmen,Jamie Nash,2016
Lost Highway,David Lynch,1997
Grassroots,Stephen Gyllenhaal,2012
Tideland,Tony Grisoni,2006
Rambo: First Blood Part II,Kevin Jarre,1985
Made in Dagenham,William Ivory,2010
The Phantom,Jeffrey Boam,1996
Johnny Guitar,Philip Yordan,1954
Bedtime Stories,Tim Herlihy,2008
Cleopatra Jones,Sheldon Keller,1973
The Castle,Rob Sitch,1999
Orange County,Mike White,2002
The Inspector General,Harry Kurnitz,1949
Joe Strummer: The Future Is Unwritten,Julien Temple,2007
Yakuza Apocalypse,Yoshitaka Yamaguchi,2015
Jianyu (Reign of Assassins),Chao-Bin Su,2010
Yosemite,Gabrielle Demeestere,2016
That's My Boy,David Wain,2012
Discreet,Travis Mathews,2018
The Big Trail,Jack Peabody,1930
Best Friends,Barry Levinson,1982
Inkheart,David Lindsay-Abaire,2009
Ghost Town,David Koepp,2008
Terms of Endearment,James L. Brooks,1983
Any Which Way You Can,Jeremy Joe Kronsberg,1980
Late Spring,Kgo Noda,1949
National Lampoon's Movie Madness,Shary Flenniken,1982
The Slaughter Rule,Andrew J. Smith,2002
In Her Shoes,Susannah Grant,2005
Teeth,Mitchell Lichtenstein,2007
Masquerade,Hwang Jo-yun,2012
Altered Minds (The Red Robin),Michael Z. Wechsler,2015
Leprechaun: Origins,Harris Wilkinson,2014
Dead or Alive,Lowry Brooks Jr.,2002
Snitch,Ric Roman Waugh,2013
Teacher's Pet,Fay Kanin,1958
Catfight,Onur Tukel,2017
Northwest Passage,Laurence Stallings,1940
Two Weeks,Steve Stockman,2006
Admiral (Michiel de Ruyter),Lars Boom,2016
Spiders,Jo Farrugia,2013
Iron Monkey,Hark Tsui,2001
Three to Tango,Rodney Vaccaro,1999
Manhattan,Woody Allen,1979
A Hard Day's Night,Alun Owen,1964
Black Sea,Dennis Kelly,2015
Pulse,Mick Garris,1988
Carnival of Souls,John Clifford,1962
Darkman,Sam Raimi,1990
X-Men: First Class,Ashley Edward Miller,2011
Psycho III,Charles E. Pogue,1986
Dealing With Idiots,Jeff Garlin,2013
The Spirit of St. Louis,Charles Lederer,1957
Bridget Jones: The Edge of Reason,Andrew Davies,2004
Unmistaken Child,Ilil Alexander,2009
Youth in Oregon,Andrew Eisen,2017
Prom,Katie Wech,2011
Seabiscuit,Gary Ross,2003
A Passage to India,Santha Rama Rau,1984
How to Talk to Girls at Parties,John Cameron Mitchell,2018
Touch The Sound,Thomas Riedelsheimer,2004
Monte Carlo,Thomas Bezucha,2011
Epic Movie,Aaron Seltzer,2007
POM Wonderful Presents: The Greatest Movie Ever Sold,Morgan Spurlock,2011
I Can Do Bad All By Myself,Tyler Perry,2009
Half Baked,Neal Brennan,1998
The Good Earth,Claudine West,1937
Grand Piano,Damien Chazelle,2014
Bugs!,Abby Aron,2003
Bride of Re-Animator,Brian Yuzna,1990
Double Jeopardy,Douglas S. Cook,1999
La Cara Oculta,Andrs Baiz,2012
The Beat Beneath My Feet,Michael Muller,2016
Casa de mi padre,Andrew Steele,2012
Beyond the Poseidon Adventure,Nelson Gidding,1979
The Opposite Sex,Michael Kanin,1956
The Order,Jean-Claude Van Damme,2002
Shakes the Clown,Bobcat Goldthwait,1992
9 Dead Gay Guys,Ky Mo Lab,2002
The Equalizer,Richard Wenk,2014
Rudyard Kipling's The Jungle Book,Ronald Yanover,1994
The Stanford Prison Experiment,Tim Talbott,2015
Twin Peaks - Fire Walk with Me,David Lynch,1992
Dominion: Prequel to the Exorcist,Paul Schrader,2005
Intolerable Cruelty,Robert Ramsey,2003
Contraband,Brock Williams,1940
Strings,Naja Marie Aidt,2004
Trollhunter,Andr Ovredal,2011
Code Unknown (Code inconnu: Rcit incomplet de divers voyages),Michael Haneke,2000
Spiral,Jeremy Danial Boreing,2007
Assassin's Creed,Adam Cooper,2016
Gorillas in the Mist: The Story of Dian Fossey,Anna Hamilton Phelan,1988
Jamn Jamn,Cuca Canals,1991
30 Beats,Alexis Lloyd,2012
Cold Comes The Night,Oz Perkins,2014
Final Terror,Jon George,1985
Predator 2,John Thomas,1990
Descent,Talia Lugacy,2007
Dealt,Luke Korem,2017
Temple Grandin,William Merritt Johnson,2010
V.I. Warshawski,William Edward Taylor,1991
The Jungle Book 2,Karl Guers,2003
Sniper,Crash Leyland,1993
G.I. Jane,David Twohy,1997
The Foot Fist Way,Danny McBride (IV),2006
The Sisterhood of the Traveling Pants,Elizabeth Chandler,2005
10 Things I Hate About You,Karen McCullah Lutz,1999
Pork Chop Hill,James R. Webb,1959
Don't Hang Up,Joe Johnson,2017
In the Land of Women,Jon Kasdan,2007
Cemetery Junction,Ricky Gervais,2010
Skateland,Anthony Burns,2011
For Me and My Gal,Richard Sherman,1942
Maid in Manhattan,John Hughes,2002
Year One,Gene Stupnitsky,2009
One Fall,Marcus Dean Fuller,2011
The Square,Matthew Dabner,2010
Street Smart,Dave Freeman,1987
Survival of the Dead,George A. Romero,2010
Smokey and the Bandit,Charles Shyer,1977
Fortress 2: Re-Entry,Peter Doyle,1999
The Attorney,Yoon Hyun-ho,2014
My Super Ex-Girlfriend,Don Payne,2006
Death in Venice,Luchino Visconti,1971
Gang Related,Jim Kouf,1997
"Manson, My Name Is Evil",Reginald Harkema,2009
A Place in the Sun,Harry Brown,1951
V for Vendetta,Lana Wachowski,2006
Smiley,Michael J. Gallagher,2012
Bootmen,Steve Worland,2000
My Friend Flicka,Lillie Hayward,1944
My Little Pony: The Movie,Joe Ballarini,2017
Love Affair,Robert Towne,1994
Raw Deal,Norman Wexler,1986
The Marine,Michell Gallagher,2006
Adventures in Public School (Public Schooled),Kyle Rideout,2018
A Song for Martin,Bille August,2002
The Full Monty,Simon Beaufor,1997
Batman & Robin,Akiva Goldsman,1997
Primer,Shane Carruth,2004
Get Shorty,Scott Frank,1995
The Dream Team,Jon Connolly,1989
Nurse Betty,James Flamberg,2000
Island Of Lemurs: Madagascar,Drew Fellman,2014
Vinyan,Fabrice Du Welz,2008
"Norte, the End of History",Rody Vera,2014
Beyond The Reach,Stephen Susco,2015
Viva Zapata!,John Steinbeck,1952
Firefox,Wendell Wellman,1982
Space Cowboys,Ken Kaufman,2000
Chasing Ice,Mark Monroe,2012
This Must Be The Place,Umberto Contarello,2012
Ip Man 2: Legend of the Grandmaster,Edmond Wong,2011
The Ballad of Ramblin' Jack,Aiyanna Elliott,2000
Down in the Delta,Myron Goble,1998
Doctor Faustus,Nevill Coghill,1968
The Rite,Michael Petroni,2011
I Am Number Four,Alfred Gough,2011
Koyaanisqatsi - Life Out of Balance,Ron Fricke,1983
Patriots Day,Peter Berg,2017
Were the World Mine,Tom Gustafson,2008
Unbroken,Ethan Coen,2014
'X'---The Man With the X-Ray Eyes,Robert Dillon,1963
The Harder They Come,Trevor D. Rhone,1973
A Price Above Rubies,Boaz Yakin,1998
The Happy Sad,Ken Urban,2013
Bride Wars,Greg DePaul,2009
The Pride and the Passion,Edward Anhalt,1957
The Golden Bowl,Ruth Prawer Jhabvala,2000
One Eight Seven,Scott Yagemann,1997
The Pebble and the Penguin,Steve Whitestone,1995
Mr. Baseball,Kevin Wade,1992
The Shaggy Dog,Bill Walsh,1959
Vampyr - Der Traum des Allan Grey,Christen Jul,1932
Grand Canyon Adventure: River at Risk,Jack Stephens,2008
Nobelity,Turk Pipkin,2006
Following Sean,Ralph Arlyck,2006
L'Avventura,Elio Bartolini,1960
A Fine Mess,Blake Edwards,1986
The Hunter,Peter Hyams,1980
Shadows in the Sun,Brad Mirman,2005
The Lords of Salem,Rob Zombie,2013
Class,David Greenwalt,1983
Aliens in the Attic,Adam F. Goldberg,2009
House of Pleasures,Bertrand Bonello,2011
Burton And Taylor,William Ivory,2013
The Woman in the Fifth,Pavel Pavlikovskiy,2012
Us and Them,Joseph Martin,2018
Shot Caller,Ric Roman Waugh,2017
Battle Beyond the Stars,Anne Dyer,1980
The Negotiator,James DeMonaco,1998
The Flowers of War,Yan Geling,2011
Trumbo,Christopher Trumbo,2007
A History of Violence,Josh Olson,2005
The Emperor's New Clothes,Kevin Molony,2002
D.O.A.,Russell Rouse,1950
Pacific Rim,Travis Beacham,2013
xXx: State of the Union,Rich Wilkes,2005
Yarn,Krishan Arora,2016
Crimes and Misdemeanors,Woody Allen,1989
Who'll Stop the Rain,Judith Rascoe,1978
Killing Jesus,Walon Green,2015
Toast,Lee Hall,2011
Cats Don't Dance,Theresa Pettengill,1997
Sunset Boulevard,"D.M. Marshman, Jr.",1950
"Rachel, Rachel",Stewart Stern,1968
Southlander: Diary of a Desperate Musician,Steven Hanft,2001
Arachnophobia,Wesley Strick,1990
Railroad Tigers,Sheng Ding,2017
A Royal Affair,Nikolaj Arcel,2012
He Knows You're Alone,Scott Parker,1980
The Black Hole,Jeb Rosebrook,1979
Final Analysis,Scott Frank,1992
Acolytes,Shane Krause,2011
I Used To Be Darker,Matthew Porterfield,2013
Black Sunday,Kenneth Ross,1977
The Strange Love of Martha Ivers,Robert Riskin,1946
The Trust,Adam Hirsch,2016
Night at the Museum,Robert Ben Garant,2006
Hating Breitbart,Andrew Marcus,2012
"Corrina, Corrina",Michael Jenning,1994
Shirley Valentine,Willy Russell,1989
Existenz,David Cronenberg,1999
The A-Team,Brian Bloom,2010
Imperial Dreams,Ismet Prcic,2014
Let the Sunshine In (Un beau soleil intrieur),Claire Denis,2018
Tokyo Drifter,Yasunori Kawauchi,1966
The Human Centipede (First Sequence),Tom Six,2010
Avengers: Age of Ultron,Stan Lee,2015
The Last Wave,Petru Popescu,1977
In the Loop,Simon Blackwell,2009
Drug War,Ka-Fai Wai,2013
Shadowboxer,Lee Daniels,2005
Angel Heart,Alan Parker,1987
Blackfish,Eli Despres,2013
Schneider vs. Bax,Alex van Warmerdam,2015
Assassin's Bullet,Nancy L. Babine,2012
Goodbye Solo,Bahareh Azimi,2009
Lay the Favorite,D.V. DeVincentis,2012
Batman: Mask Of The Phantasm,Martin Paso,1993
The Good Doctor,John Enbom,2012
The 9th Life of Louis Drax,Max Minghella,2016
Bellflower,Evan Glodell,2011
Road to Morocco,Don Hartman,1942
Persons Unknown,Craig Smith,1996
"The Aryan Couple, (The Couple)",Kendrew Lascelles,2005
Operation Dumbo Drop,Jim Kouf,1995
Mia et le Migou (Mia and the Migoo),Benot Chieux,2011
Black Dog,Dan Vining,1998
The World of Henry Orient,Nunnally Johnson,1964
De Sade,Richard Matheson,2001
The Fugitive Kind,Meade Roberts,1960
17 Again,Jason Filardi,2009
Just Friends,Adam Davis,2005
Live Nude Girls,Julianna Lavin,1995
To The Wonder,Terrence Malick,2013
Gunless,William Phillips,2011
Women in Trouble,Sebastian Gutierrez,2009
Rob the Mob,Jonathan Fernandez,2014
The Man Who Shot Liberty Valance,James Warner Bellah,1962
Age of Summer,Bill Kiely,2018
Sympathy for Mr. Vengeance,Lee Jae-soon,2002
Race You to the Bottom,Russell Brown (VI),2005
Beasts of the Southern Wild,Lucy Alibar,2012
It's Better to Jump,Gina Angelone,2013
Philip Roth: Unmasked,William Karel,2013
Tiptoes,Bill Wiener,2004
The Pride of the Yankees,Herman J. Mankiewicz,1942
Reap the Wild Wind,Jesse Lasky,1942
The Moth Diaries,Mary Harron,2012
Cabin Fever,Eli Roth,2002
Deadline,Mark Ethridge,2012
"Look Who's Talking, Too",Neal Israel,1990
The Boss,Melissa McCarthy,2016
The Emoji Movie,Eric Siegel,2017
The 13th Warrior,Warren Lewis,1999
Double Indemnity,Billy Wilder,1944
Visioneers,Jared Drake,2008
Walking Out,Andrew J. Smith,2017
The Kids Are Alright,Jeff Stein,1979
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",Mark Hartley,2008
The Way We Were,Arthur Laurents,1973
Blue in the Face,Paul Auster,1995
"Copying Beethoven, (Klang der Stille)",Christopher Wilkinson,2006
Shallow Hal,Peter Farrelly,2001
A Guy Thing,Pete Schwaba,2003
Cinderella Man,Ron Howard,2005
Angels Crest,Catherine Trieschmann,2011
They,Brendan Hood,2002
The Princess and the Frog,Ron Clements,2009
Long Weekend,Colin Eggleston,1979
Lost in America,Albert Brooks,1985
Suburbicon,Ethan Coen,2017
Pawn Sacrifice,Christopher Wilkinson,2015
Children Shouldn't Play with Dead Things,Bob Clark,1973
It Started in Naples,Suso Checchi d'Amico,1960
Goal! The Dream Begins (Goal!: The Impossible Dream),Dick Clement,2005
"The Godfather, Part II",Mario Puzo,1974
Bird on a Wire,Louis Venosta,1990
September Tapes,Christian Van Gregg,2004
Everyday People,Jim McKay,2004
Brampton's Own,Michael Doneger,2018
Flesh for the Beast,Terry M. West,2003
La Habitacin de Fermat (Fermat's Room),Rodrigo Sopea,2009
Machine Gun Preacher,Jason Keller,2011
How Stella Got Her Groove Back,Terry McMillan,1998
Basket Case,Frank Henenlotter,1982
Dil Bole Hadippa! (My Heart Goes Hooray!),Aparajita,2009
Lock Up,Paul F. Edwards,1989
Above the Law,Steven Pressfield,1988
Ovation!,Ron Vignone,2016
Rock of Ages,Chris D'Arienzo,2012
Two Hands,Gregor Jordan,1999
Earth vs. the Flying Saucers,George Worthing Yates,1956
Marnie,Jay Presson Allen,1964
BloodRayne 2: Deliverance,Neil Every,2007
Samson,Jason Baumgardner,2018
To the Bone,Marti Noxon,2017
Hero and the Terror,Dennis Shryack,1988
Spy Hard,Dick Chudnow,1996
The Pledge,Jerzy Kromolowski,2001
Sex and the Single Girl,David R. Schwartz,1964
Citizen Kane,Orson Welles,1941
Jabberwocky,Terry Gilliam,1977
The Nine Muses,John Akomfrah,2011
Misery Loves Comedy,John Varhous,2014
The Green Butchers,Anders Thomas Jensen,2004
Festival,Annie Griffin,2005
The Fast and the Furious,Gary Scott Thompson,2001
Four Christmases,Jon Lucas,2008
Duck,Nicole Bettauer,2005
Fright Night,Tom Holland,2011
Infernal Affairs II,Alan Mak,2003
Thirteen Conversations About One Thing,Jill Sprecher,2001
The Circle,Dave Eggers,2017
Blithe Spirit,Anthony Havelock-Allan,1945
Outside Providence,Bobby Farrelly,1999
Aladdin,Ron Clements,1992
Mobsters,Nicholas Kazan,1991
Hollywood Shuffle,Robert Townsend,1982
Intolerable Cruelty,Matthew Stone,2003
The Mummy's Hand,Griffin Jay,1940
Krrish 3,Robin Bhatt,2013
Spider-Man 3,Alvin Sargent,2007
Ghost of Frankenstein,W. Scott Darling,1942
The Great Santini,Lewis John Carlino,1979
Hop,Ken Daurio,2011
Leaving Las Vegas,Mike Figgis,1995
The Girl from the Naked Eye,Jason Yee,2012
High School High,Robert LoCash,1996
David and Lisa,Eleanor Perry,1962
McQ,Lawrence Roman,1974
Husbands and Wives,Woody Allen,1992
Cutter's Way,Jeffrey Fiskin,1981
The Fifth Element,Robert Mark Kamen,1997
The Pirate,Frances Goodrich,1948
Still/Born,Brandon Christensen (II),2018
Devil in a Blue Dress,Carl Franklin,1995
The Bridges of Madison County,Richard LaGravenese,1995
Out of Time,David Collard,2003
Miss Congeniality,Caryn Lucas,2000
Standoff,Adam Alleca,2016
Fire With Fire,Tom O'Connor,2012
Summer Rental,Carl Reiner,1985
House On Haunted Hill,Robb White,1959
Wanted,J.G. Jones,2008
Into the Inferno,Werner Herzog,2016
Wild Bill,Danny King,2011
Darfur Now,Theodore Braun,2007
Bruno,David Ciminello,2000
How to Cook Your Life,Doris Drrie,2007
Open Season,Ron J. Friedman,2006
For a Few Dollars More (Per Qualche Dollaro in Pi),Sergio Leone,1965
Jane Eyre,Robert Stevenson,1944
The Hunting Ground,Kirby Dick,2015
Smile,Jeffrey Kramer,2005
"All This, and Heaven Too",Casey Robinson,1940
Tumbledown,Desiree Van Til,2016
Kung Fu Panda,Glenn Berger,2008
Oscar,Les Charles,1991
The Giver,Robert B. Weide,2014
The Notebook,Jnos Szsz,2014
We're The Millers,Sean Anders,2013
Choose Connor,Luke Eberl,2008
Goldfinger,Paul Dehn,1964
Grand Theft Parsons,Jeremy Drysdale,2004
"Nightmares in Red, White and Blue",Joseph Maddrey,2009
Standing Still,Matthew Perniciaro,2005
Le Cercle Rouge,Jean-Pierre Melville,1970
Cold in July,Jim Mickle,2014
Swept Away,Lina Wertmller,2002
The Amityville Horror,Scott Kosar,2005
Loitering With Intent,Ivn Martn,2015
Minions,Brian Lynch,2015
The House By The Cemetery (Quella villa accanto al cimitero),Lucio Fulci,1981
Frankie & Johnny,Terrence McNally,1991
Megaforce,Hal Needham,1982
Benny & Joon,Leslie McNeil,1993
The Conjuring 2,Carey Hayes,2016
3-Iron,Kim Ki-duk,2004
The Lizzie McGuire Movie,Ed Decter,2003
H.G. Wells' First Men in the Moon,Jan Read,1964
Buster's Mal Heart,Sarah Adina Smith,2017
Intacto,Andres Koppel,2002
The Piano Tuner of Earthquakes,Timothy Quay,2006
The Meddler,Lorene Scafaria,2016
Firewalker,Robert Gosnell,1986
Spring,Justin Benson,2015
Dinosaur,John Kent Harrison,2000
Tom and Huck,David Loughery,1995
Bling,Hyunjoong Kim,2016
33 Postcards,Martin Edmond,2013
Emergo (Apartment 143),Rodrigo Corts,2012
The Connection,Audrey Diwan,2015
Man Bites Dog,Benot Poelvoorde,1992
In the Line of Fire,Jeff Maguire,1993
Cinderella,Ken Anderson,1950
The Three Burials of Melquiades Estrada,Guillermo Arriaga Jordan,2006
Monogamy,Evan M. Wiener,2011
Gods and Monsters,Bill Condon,1998
Sidewalks of New York,Edward Burns,2001
Let There Be Light,Dan Gordon,2017
The End of the Affair,Neil Jordan,1999
Return to Never Land,Carter Crocker,2002
Cut Bank,Roberto Patio,2015
Resistance,Owen Sheers,2011
Asylum,Chrysanthy Balis,2005
Hit and Runway,Jaffe Cohen,1999
In Our Nature,Brian Savelson,2012
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Ann Peacock,2005
The Boys and Girl from County Clare,Nicolas Adams,2004
Valentin,Alejandro Agresti,2004
Just Like Heaven,Peter Tolan,2005
Requiem for a Dream,Hubert Selby Jr.,2000
The General,Clyde Bruckman,1927
A Brony Tale,Brent Hodge,2014
Kids in America,Josh Stolberg,2005
Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest),B.D. Clark,1981
Never Die Alone,James Gibson,2004
Traitor,Jeffrey Nachmanoff,2008
My Girl,Barbara Benedek,1991
A Skin So Soft (Ta peau si lisse),Denis Ct,2018
Down and Out in Beverly Hills,Paul Mazursky,1986
3 Hearts (3 coeurs),Julien Boivent,2015
Dancing at Lughnasa,Frank McGuinness,1998
Dark Tide,Ronnie Christensen,2012
Heli,Amat Escalante,2014
Desert Dancer,Jon Croker,2015
White Material,Claire Denis,2010
Crossing Over,Wayne Kramer,2009
God's Horses,Jamel Belmahi,2014
Virtual JFK: Vietnam If Kennedy Had Lived,James G. Blight,2008
Miss Bala,Gerardo Naranjo,2012
Mirrors,Grgory Levasseur,2008
Air America,John Eskow,1990
Practical Magic,Akiva Goldsman,1998
M*A*S*H,Ring Lardner Jr.,1970
The Frighteners,Frances Walsh,1996
Midnighters,Alston Ramsay,2018
Das Haus der Schlafenden Schnen (House of the Sleeping Beauties),Vadim Glowna,2008
The Last Laugh (Der Letzte Mann),Carl Mayer,1925
Stuart Little,M. Night Shyamalan,1999
The Sleepwalker,Mona Fastvold,2014
Two for the Seesaw,Isobel Lennart,1962
Death Defying Acts,Tony Grisoni,2008
Going Under,Eric Werthman,2006
The Girl In The Photographs,Nick Simon (II),2016
Cabin Fever,Randy Pearlstein,2002
Mars Attacks!,Jonathan Gems,1996
Up and Down (Horem Pdem) (Loop the Loop),Jan Hrebejk,2004
Twin Warriors (Tai ji zhang san feng) (The Tai-Chi Master),Ip Kwong Kim,1984
Death Sentence,Ian Jeffers,2007
A Nightmare on Elm Street 5: The Dream Child,David Spector,1989
All Quiet on the Western Front,Lewis Milestone,1930
Lo Squartatore di New York (The New York Ripper),Vincenzo Mannino,1982
Jiro Dreams of Sushi,David Gelb,2012
World of the Dead: The Zombie Diaries 2,Kevin Gates,2011
My Life So Far,Denis Forman,1999
Accidental Love,Kristin Gore,2015
Efter brylluppet (After the Wedding),Anders Thomas Jensen,2006
Babel,Guillermo Arriaga,2006
Cool Runnings,Tommy Swerdlow,1993
Legendary,John Posey,2010
Solitude,Pi Ware,2002
Herbie Goes to Monte Carlo,Arthur Alsberg,1977
