movie,screenwriter,year
Medicine for Melancholy,Barry Jenkins (III),2008
The Wildest Dream: Conquest of Everest,Mark Halliley,2010
Deep Impact,Michael Tolkin,1998
Ziegfeld Follies,Robert Lewis,1946
Saving Face,Alice Wu,2005
30 Days of Night,Steve Niles,2007
Take,Charles Oliver,2008
The Interview,Evan Goldberg,2014
Switchback,Jeb Stuart,1997
Kiss the Bride,Ty Lieberman,2008
Female Perversions,Julie Hebert,1997
A Man and a Woman,Pierre Uytterhoeven,1966
Holly,Guy Moshe,2007
Wah Do Dem,Sam Fleischner,2010
Witness Protection,Robert Sabbag,1999
Hidden Agenda,Jim Allen,1990
King Kong,Philippa Boyens,2005
The Kill Team,Linda Davis,2014
Leonard Part 6,Bill Cosby,1987
The Other Sister,Bob Brunner,1999
About Cherry,Lorelei Lee,2012
Smithereens,Ron Nyswaner,1982
Maps to the Stars,Bruce Wagner,2015
The Guardians (Les Gardiennes),Frdrique Moreau,2018
Enough Said,Nicole Holofcener,2013
Just Getting Started,Ron Shelton,2017
"Lila, Lila",Axel Buresch,2014
Hangman,Michael Caissie,2017
The Square,Ruben stlund,2017
Casino Royale,Terry Southern,1967
22 Jump Street,Oren Uziel,2014
The Terminal,Sacha Gervasi,2004
Shallow Hal,Bobby Farrelly,2001
Jump In!,Doreen Spicer,2007
The Fifth Estate,Josh Singer,2013
Turbulence,Steven E. de Souza,1997
Bottled Up,Enid Zentelis,2014
Splintered,Matt Archer,2010
Fantastic Beasts and Where to Find Them,J.K. Rowling,2016
Witless Protection,Charles Robert Carner,2008
Life of a King,David Scott,2014
The Expendables 2,Richard Wenk,2012
Hercules in New York,Aubrey Wisberg,1975
American Grindhouse,Calum Waddell,2010
Salaam Namaste,Abbas Tyrewala,2005
Mysteries of Lisbon,Camilo Castelo Branco,2011
Movie 43,Claes Kjellstrm,2013
Bomb It,Jon Reiss,2008
The Crush,Alan Shapiro,1993
Metropolis,Fritz Lang,1927
Wise Blood,Michael Fitzgerald,1979
Ripe,Mo Ogrodnik,1996
Scary Movie 5,David Zucker,2013
Birth Of The Living Dead,Rob Kuhns,2013
Tinker Tailor Soldier Spy,Bridget O'Connor,2011
5 Broken Cameras,Guy Davidi,2012
Beautiful Boy,Shawn Ku,2011
Step Up: All In,John Swetnam,2014
The Last House on the Left,Wes Craven,1972
Shoujyo: An Adolescent,Katsuhiko Manabe,2005
Peeping Tom,Leo Marks,1960
Tuya's Marriage,Wang Quan'an,2006
Waiting for Superman,Davis Guggenheim,2010
Armed Response,Matt Savelloni,2017
The War Within,Joseph Castelo,2005
The Cherry Orchard,Anton Chekhov,2000
Nature Calls,Todd Rohal,2012
No Way Out,Robert Garland,1987
The Aviator,John Logan,2004
The Devil's Candy,Sean Byrne,2017
The Secret in Their Eyes (El Secreto de Sus Ojos),Juan Jos Campanella,2010
Grandma's Boy,Barry Wernick,2006
Tex,Tim Hunter,1982
Open Your Eyes (Abre los Ojos),Mateo Gil,1999
The Borrowers,John Kamps,1998
The Train,Franklin Coen,1965
Night at the Museum 2: Battle of the Smithsonian,Robert Ben Garant,2009
Panic in the Streets,Daniel Fuchs,1950
The Milagro Beanfield War,David S. Ward,1988
